life_expectancy,alcohol,hepatitis_b,measles,polio,diphtheria,hiv/aids
65.0,0.01,65.0,1154,6.0,65.0,0.1
59.9,0.01,62.0,492,58.0,62.0,0.1
59.9,0.01,64.0,430,62.0,64.0,0.1
59.5,0.01,67.0,2787,67.0,67.0,0.1
59.2,0.01,68.0,3013,68.0,68.0,0.1
58.8,0.01,66.0,1989,66.0,66.0,0.1
58.6,0.01,63.0,2861,63.0,63.0,0.1
58.1,0.03,64.0,1599,64.0,64.0,0.1
57.5,0.02,63.0,1141,63.0,63.0,0.1
57.3,0.03,64.0,1990,58.0,58.0,0.1
57.3,0.02,66.0,1296,58.0,58.0,0.1
57.0,0.02,67.0,466,5.0,5.0,0.1
56.7,0.01,65.0,798,41.0,41.0,0.1
56.2,0.01,64.0,2486,36.0,36.0,0.1
55.3,0.01,63.0,8762,35.0,33.0,0.1
54.8,0.01,62.0,6532,24.0,24.0,0.1
77.8,4.6,99.0,0,99.0,99.0,0.1
77.5,4.51,98.0,0,98.0,98.0,0.1
77.2,4.76,99.0,0,99.0,99.0,0.1
76.9,5.14,99.0,9,99.0,99.0,0.1
76.6,5.37,99.0,28,99.0,99.0,0.1
76.2,5.28,99.0,10,99.0,99.0,0.1
76.1,5.79,98.0,0,98.0,98.0,0.1
75.3,5.61,99.0,0,99.0,99.0,0.1
75.9,5.58,98.0,22,99.0,98.0,0.1
74.2,5.31,98.0,68,97.0,97.0,0.1
73.5,5.16,98.0,6,97.0,98.0,0.1
73.0,4.54,99.0,7,98.0,97.0,0.1
72.8,4.29,97.0,8,97.0,97.0,0.1
73.3,3.73,96.0,16,98.0,98.0,0.1
73.6,4.25,96.0,18,97.0,97.0,0.1
72.6,3.66,96.0,662,97.0,97.0,0.1
75.6,3.755,95.0,63,95.0,95.0,0.1
75.4,0.01,95.0,0,95.0,95.0,0.1
75.3,0.53,95.0,25,95.0,95.0,0.1
75.1,0.66,95.0,18,95.0,95.0,0.1
74.9,0.56,95.0,112,95.0,95.0,0.1
74.7,0.45,95.0,103,95.0,95.0,0.1
74.4,0.5,94.0,107,94.0,95.0,0.1
74.1,0.46,91.0,217,92.0,93.0,0.1
73.8,0.44,9.0,0,95.0,95.0,0.1
73.4,0.36,8.0,944,95.0,95.0,0.1
72.9,0.5,83.0,2302,88.0,88.0,0.1
72.3,0.45,81.0,3289,86.0,86.0,0.1
71.7,0.34,92.0,15374,87.0,87.0,0.1
71.6,0.36,92.0,5862,86.0,86.0,0.1
71.4,0.23,92.0,2686,89.0,89.0,0.1
71.3,0.25,92.0,0,86.0,86.0,0.1
52.4,3.755,64.0,118,7.0,64.0,1.9
51.7,8.33,64.0,11699,68.0,64.0,2.0
51.1,8.1,77.0,8523,67.0,77.0,2.3
56.0,8.24,75.0,4458,75.0,75.0,2.6
51.0,8.06,72.0,1449,73.0,71.0,2.5
49.6,7.8,77.0,1190,81.0,77.0,2.5
49.1,7.01,61.0,2807,63.0,6.0,2.5
48.7,7.07,69.0,265,65.0,69.0,2.6
48.2,6.35,73.0,1014,75.0,73.0,2.6
47.7,5.84,92.0,765,36.0,34.0,2.5
47.4,5.04,92.0,258,39.0,38.0,2.6
47.1,3.53,92.0,29,4.0,4.0,2.5
46.8,3.49,92.0,1196,4.0,4.0,2.4
46.5,2.82,92.0,11945,37.0,41.0,2.3
45.7,2.58,92.0,9046,41.0,38.0,2.1
45.3,1.85,92.0,2219,3.0,28.0,2.0
76.4,3.755,99.0,0,86.0,99.0,0.2
76.2,8.56,99.0,0,96.0,99.0,0.2
76.1,8.58,99.0,0,98.0,99.0,0.2
75.9,8.18,98.0,0,97.0,98.0,0.2
75.7,7.84,99.0,0,99.0,99.0,0.1
75.6,7.84,98.0,0,99.0,98.0,0.1
75.4,7.82,98.0,0,98.0,99.0,0.1
75.2,8.27,98.0,0,99.0,99.0,0.1
75.0,8.64,97.0,0,98.0,99.0,0.1
74.8,8.93,99.0,0,99.0,99.0,0.1
74.6,8.15,99.0,0,98.0,99.0,0.1
74.4,7.28,97.0,0,97.0,97.0,0.1
74.2,7.16,99.0,0,99.0,99.0,0.1
74.0,7.21,99.0,0,93.0,98.0,0.1
73.8,7.51,96.0,0,99.0,97.0,0.1
73.6,7.27,92.0,0,96.0,95.0,0.1
76.3,3.755,94.0,0,93.0,94.0,0.1
76.2,7.93,94.0,1,92.0,94.0,0.1
76.0,8.28,94.0,0,99.0,94.0,0.1
75.9,8.35,91.0,2,99.0,91.0,0.1
75.7,8.11,91.0,3,93.0,91.0,0.1
75.5,8.15,94.0,17,95.0,94.0,0.1
